TransactionAmount,TransactionDuration,AccountBalance,CustomerAge,TransactionType,Channel,Cluster
254.77,57.0,5994.87,57.0,Debit,Branch,1
795.96,119.0,5468.58,65.0,Debit,Online,3
149.25,142.0,5677.52,39.0,Debit,ATM,2
3.42,158.0,14180.21,43.0,Credit,Online,3
68.19,189.0,9895.1,40.0,Credit,Online,3
493.4200000000001,111.0,2232.84,39.0,Debit,Branch,1
37.57,42.00000000000001,7739.54,57.0,Debit,ATM,2
127.00000000000001,68.00000000000001,431.16,19.0,Credit,Branch,1
96.89,53.00000000000001,6044.93,59.0,Debit,ATM,2
448.33,161.0,922.19,25.0,Debit,ATM,2
1116.48,55.0,447.53,51.0,Debit,ATM,2
8.65,273.0,10778.35,48.0,Debit,Online,3
65.57,82.0,7513.79,41.0,Debit,Online,3
539.81,177.0,2051.25,46.0,Debit,Online,3
363.53,142.0,1038.91,63.0,Debit,ATM,2
64.9,72.0,6854.61,51.0,Credit,Branch,1
358.18,157.0,619.86,18.0,Debit,ATM,2
167.2,84.00000000000001,11320.83,30.0,Debit,Branch,1
121.90999999999998,133.0,14510.8,60.0,Debit,Branch,1
137.57,70.0,5103.67,54.0,Debit,Online,3
534.62,45.0,13793.53,55.0,Debit,Online,3
463.92,199.0,2403.39,50.0,Debit,Online,3
320.14,96.0,3075.97,60.0,Debit,Online,3
214.93,52.00000000000001,7835.4,28.0,Debit,Online,3
660.02,84.00000000000001,414.43,20.0,Debit,Branch,1
345.81,135.0,6116.8,40.0,Debit,Branch,1
143.54,80.0,6067.62,71.0,Debit,ATM,2
42.55,29.000000000000004,7341.43,53.0,Debit,Branch,1
1063.25,128.0,1240.71,21.0,Credit,Online,3
541.79,125.0,1454.08,22.0,Debit,ATM,2
40.57,63.0,1476.91,26.0,Debit,Branch,1
120.24000000000001,131.0,1943.1300000000003,18.0,Debit,Branch,1
498.66999999999996,244.0,1719.97,28.0,Debit,Online,3
227.22,220.0,832.82,53.0,Debit,ATM,2
1182.86,34.0,7696.16,30.0,Debit,Online,3
56.94,74.0,7004.63,76.0,Credit,Online,3
629.82,159.0,6385.69,68.0,Debit,ATM,2
59.44,176.0,5472.03,35.0,Debit,Online,3
186.69,53.99999999999999,8602.22,30.0,Debit,Branch,1
230.46,179.0,162.53,19.0,Debit,Online,3
65.09,159.0,9370.9,44.0,Credit,Online,3
457.09,63.0,8570.82,55.0,Credit,Online,3
552.02,100.00000000000001,522.08,44.0,Credit,ATM,2
377.12,61.00000000000001,836.6699999999998,34.0,Debit,ATM,2
204.56,179.0,364.72,18.0,Credit,Branch,1
420.28,144.0,8557.32,35.0,Debit,Branch,1
97.09,202.0,1579.57,24.0,Debit,ATM,2
124.59,171.0,129.29,27.0,Debit,Branch,1
73.88,34.0,6474.41,39.0,Debit,Online,3
77.43,169.0,1380.21,21.0,Debit,Online,3
106.16,277.0,7487.790000000001,56.0,Debit,ATM,2
245.93,172.0,7986.629999999999,54.0,Debit,Branch,1
622.41,125.0,7322.01,64.0,Debit,ATM,2
43.73,145.0,9929.43,34.0,Debit,ATM,2
1282.86,68.00000000000001,1830.98,19.0,Debit,Branch,1
2.03,28.0,3012.31,33.0,Credit,ATM,2
770.65,137.0,7198.8,31.0,Debit,Online,3
260.31,113.0,10980.38,63.0,Debit,Branch,1
356.1,187.0,868.35,26.0,Credit,Branch,1
27.07,39.0,3773.2899999999995,80.0,Credit,Branch,1
119.89,60.00000000000001,6697.77,67.0,Debit,ATM,2
106.39,281.0,9410.99,37.0,Debit,Online,3
12.04,58.00000000000001,6213.32,37.0,Debit,Online,3
365.7,115.0,368.78,21.0,Debit,Branch,1
29.38,63.0,1663.31,28.0,Credit,Branch,1
319.85,148.0,711.6599999999999,60.0,Debit,ATM,2
350.14,37.99999999999999,2403.25,75.0,Credit,Online,3
163.94,73.0,5957.37,52.0,Credit,Branch,1
170.53,58.00000000000001,801.01,24.0,Debit,Branch,1
262.22,136.0,5711.71,40.0,Credit,ATM,2
41.49,13.0,928.33,24.0,Debit,Online,3
121.43,243.0,7365.28,52.0,Credit,Branch,1
350.46,165.0,5839.38,51.0,Debit,Branch,1
220.41,155.0,5116.98,26.0,Credit,Online,3
33.46,111.0,3641.07,72.0,Debit,ATM,2
104.79,223.0,1352.19,70.0,Debit,ATM,2
246.27000000000004,141.0,7299.86,29.0,Debit,Online,3
48.85,176.0,1503.56,19.0,Debit,ATM,2
332.0,17.0,5943.13,69.0,Debit,ATM,2
118.1,167.0,895.6599999999999,54.0,Debit,Online,3
84.59,10.0,5669.1,67.0,Credit,Branch,1
295.64,82.0,1061.96,21.0,Debit,Online,3
514.33,160.0,1592.94,25.0,Debit,Branch,1
992.1700000000001,169.0,6215.96,43.0,Debit,ATM,2
94.59,34.0,6171.89,39.0,Debit,Online,3
80.43,157.0,5987.67,59.0,Debit,Branch,1
54.25,37.0,14783.33,68.0,Debit,Online,3
178.88,93.0,4708.29,76.0,Credit,Branch,1
518.85,82.0,1806.0,22.0,Debit,Online,3
10.65,161.0,13240.72,54.0,Debit,Online,3
198.62,84.00000000000001,1196.07,27.0,Credit,Branch,1
107.03,73.0,1408.07,27.0,Debit,Branch,1
139.57,263.0,271.78,19.0,Debit,ATM,2
312.47,148.0,9419.27,49.0,Debit,ATM,2
346.11,213.0,9551.64,41.0,Debit,Branch,1
138.06,159.0,1070.47,44.0,Debit,Branch,1
158.02,120.0,9374.24,49.0,Debit,ATM,2
830.01,96.0,4253.18,66.0,Credit,Online,3
435.5,112.0,6981.03,55.0,Debit,ATM,2
110.49,48.0,10483.93,57.0,Debit,Online,3
329.4,68.00000000000001,9588.07,34.0,Debit,Online,3
635.4,106.0,1238.11,47.0,Debit,ATM,2
769.97,22.999999999999996,1244.93,22.0,Debit,Branch,1
175.07,169.0,1040.25,26.0,Debit,Branch,1
7.31,282.0,5757.67,78.0,Debit,Branch,1
175.15,32.0,1712.65,27.0,Debit,ATM,2
32.54,183.0,1544.88,25.0,Debit,Online,3
121.82000000000001,119.0,13293.83,60.0,Debit,Online,3
56.12,102.0,8839.67,30.0,Debit,ATM,2
424.7,178.0,6239.89,56.0,Credit,Online,3
35.16,130.0,8459.18,32.0,Debit,Branch,1
35.73,87.0,9073.17,65.0,Debit,Branch,1
3.44,107.99999999999999,7561.33,78.0,Debit,ATM,2
1342.25,235.0,694.03,21.0,Credit,Branch,1
139.03,81.0,2276.57,50.0,Credit,Online,3
254.92,169.0,2791.12,28.0,Credit,ATM,2
115.11,139.0,9808.97,28.0,Debit,Online,3
171.11,171.0,6324.09,57.0,Debit,ATM,2
168.54,142.0,13406.0,70.0,Debit,ATM,2
420.76,75.99999999999999,6581.55,51.0,Debit,Branch,1
408.46,28.0,3140.79,64.0,Debit,Branch,1
1162.42,45.0,10357.26,30.0,Credit,Online,3
342.17,247.0,461.83,21.0,Credit,Branch,1
580.71,95.0,5670.0,53.0,Debit,ATM,2
821.54,36.0,4040.3199999999997,79.0,Credit,Branch,1
253.47,238.0,220.51,20.0,Debit,Branch,1
22.81,75.0,3634.76,62.0,Debit,Online,3
266.57,96.0,7180.48,39.0,Credit,Online,3
374.61,37.0,1389.71,75.0,Credit,Online,3
339.35,70.0,5002.7,78.0,Credit,ATM,2
810.36,67.0,9239.12,20.0,Debit,ATM,2
9.83,86.0,666.42,24.0,Debit,ATM,2
135.57,116.00000000000001,11351.64,51.0,Credit,Branch,1
340.05,37.0,7234.15,43.0,Debit,ATM,2
283.45,127.0,2049.51,27.0,Debit,Branch,1
100.99,114.0,8865.27,68.0,Debit,ATM,2
90.88,176.0,3908.4700000000003,18.0,Debit,Branch,1
655.15,264.0,5587.44,26.0,Debit,ATM,2
320.55,118.0,438.75,50.0,Debit,Online,3
41.51,48.0,609.5999999999999,28.0,Debit,Online,3
71.53,39.0,2393.73,68.0,Credit,Branch,1
467.13,45.0,3914.84,54.0,Credit,Branch,1
235.4,70.0,818.3599999999999,28.0,Debit,Branch,1
159.32,100.00000000000001,304.44,18.0,Debit,Branch,1
50.83,48.0,9553.42,30.0,Credit,Online,3
56.89,56.0,3034.67,59.0,Credit,Branch,1
20.22,138.0,5515.32,43.0,Debit,ATM,2
50.4,84.00000000000001,1677.01,36.0,Debit,Branch,1
73.88,131.0,4055.55,53.0,Debit,Branch,1
119.61,53.00000000000001,9899.94,33.0,Debit,ATM,2
1241.05,129.0,756.74,18.0,Debit,Branch,1
116.58,247.0,2620.74,43.0,Debit,Branch,1
1919.1100000000001,161.0,11090.24,30.0,Debit,ATM,2
391.96,79.0,2174.16,64.0,Debit,ATM,2
156.26,160.0,7854.100000000001,46.0,Credit,Branch,1
427.0,163.0,8253.65,49.0,Credit,Branch,1
443.68,137.0,874.1499999999999,18.0,Debit,ATM,2
101.76,26.0,6043.25,31.0,Debit,Branch,1
67.57,107.0,2766.12,37.0,Debit,Branch,1
326.29,179.0,8171.259999999999,56.0,Debit,Online,3
158.56,100.00000000000001,5401.21,33.0,Debit,ATM,2
56.02,142.0,3548.02,27.0,Debit,Online,3
288.28,36.0,160.83,27.0,Debit,Online,3
245.67,107.0,752.2499999999999,24.0,Credit,Branch,1
152.18,176.0,2459.84,39.0,Credit,Online,3
114.35,21.000000000000004,469.12,41.0,Credit,Branch,1
373.27,79.0,8441.61,61.0,Credit,Online,3
504.63000000000005,168.00000000000003,3806.16,60.0,Debit,Online,3
126.22,77.0,6133.41,46.0,Debit,ATM,2
820.15,181.0,8802.97,47.0,Debit,Branch,1
986.8099999999998,127.0,14881.77,68.0,Credit,Online,3
8.37,135.0,1106.34,63.0,Debit,ATM,2
197.49,30.0,5005.33,53.0,Credit,Online,3
637.97,90.0,7949.03,58.0,Debit,Branch,1
13.52,65.0,259.77,26.0,Debit,ATM,2
432.1,240.0,2114.3,49.0,Debit,ATM,2
375.17,66.0,5495.3,51.0,Debit,ATM,2
642.68,94.0,8461.46,50.0,Debit,Branch,1
78.44,292.0,6870.84,52.0,Credit,Online,3
139.72,201.0,5058.83,49.0,Debit,Branch,1
499.99,296.0,8885.0,31.0,Debit,Branch,1
10.07,49.0,530.81,24.0,Debit,Online,3
120.61999999999999,85.0,9379.53,23.0,Debit,ATM,2
578.49,180.0,6475.13,59.0,Debit,Branch,1
119.3,22.0,319.04,34.0,Debit,Branch,1
280.92,168.00000000000003,5298.85,41.0,Debit,Online,3
42.42,102.0,490.57,21.0,Debit,Online,3
77.03,259.0,11310.27,67.0,Debit,ATM,2
22.59,45.0,3988.75,62.0,Debit,ATM,2
568.76,155.0,7484.319999999999,51.0,Debit,ATM,2
25.94,211.0,4815.11,58.0,Credit,Online,3
105.94,207.0,5963.1,51.0,Debit,Branch,1
733.29,94.0,10427.0,52.0,Debit,ATM,2
350.15,195.0,296.47,21.0,Credit,ATM,2
1151.18,105.0,1100.06,65.0,Debit,ATM,2
183.67,238.0,910.26,19.0,Debit,Online,3
278.27,123.0,6684.34,29.0,Debit,Branch,1
470.3,88.0,8524.09,40.0,Debit,ATM,2
261.69,84.00000000000001,5126.65,53.0,Debit,ATM,2
365.04,94.0,873.8899999999999,22.0,Debit,Branch,1
211.1,136.0,7059.77,57.0,Debit,Branch,1
21.49,240.0,11991.24,58.0,Debit,ATM,2
63.58,199.0,8086.040000000001,18.0,Debit,ATM,2
321.86,167.0,12626.49,63.0,Debit,ATM,2
12.11,127.0,1730.28,75.0,Debit,Branch,1
642.54,28.0,3143.17,44.0,Debit,Branch,1
210.45,146.0,1242.49,27.0,Debit,ATM,2
313.65,173.0,1886.36,55.0,Credit,Branch,1
99.76,131.0,416.89,26.0,Debit,Branch,1
115.32,113.0,5929.08,53.0,Debit,Branch,1
33.61,72.0,479.08,23.0,Debit,Online,3
498.59,32.0,5862.99,33.0,Credit,Online,3
98.81,91.0,797.1,27.0,Debit,Branch,1
1.8700000000000003,147.0,7287.94,65.0,Debit,ATM,2
78.92,95.0,5624.86,59.0,Credit,Online,3
194.29,10.0,2988.41,39.0,Credit,Branch,1
28.73,185.0,2712.96,53.0,Debit,ATM,2
105.53,88.0,1433.66,24.0,Debit,Online,3
737.34,34.0,7336.56,30.0,Debit,Online,3
237.86,210.0,475.62999999999994,18.0,Debit,ATM,2
409.61,89.0,11698.15,65.0,Debit,Branch,1
75.53,157.0,1034.35,21.0,Credit,Online,3
72.75,15.0,12042.79,64.0,Debit,ATM,2
39.11,143.0,518.54,26.0,Debit,Online,3
1309.79,139.0,1258.93,23.0,Debit,ATM,2
729.38,90.0,9127.65,68.0,Debit,ATM,2
137.49,50.00000000000001,4471.05,34.0,Debit,ATM,2
504.71,61.00000000000001,6214.54,29.0,Debit,Online,3
371.47,58.00000000000001,1187.04,24.0,Credit,Branch,1
430.35,205.0,354.9,36.0,Debit,Online,3
230.32,56.0,791.46,35.0,Debit,Branch,1
121.71,140.0,5878.89,52.0,Debit,ATM,2
98.87,179.0,533.2,20.0,Debit,Online,3
117.55,35.0,897.94,24.0,Debit,ATM,2
244.64,103.0,9159.56,30.0,Debit,Branch,1
321.93,12.0,4392.73,45.0,Debit,ATM,2
1092.73,11.0,1390.98,58.0,Debit,Branch,1
283.23,98.0,2008.7700000000002,40.0,Debit,Online,3
346.65,60.00000000000001,6356.96,30.0,Debit,Online,3
381.62,164.0,6009.12,64.0,Debit,Online,3
388.65,43.0,7896.850000000001,76.0,Debit,ATM,2
29.22,151.0,1649.43,24.0,Debit,ATM,2
46.75,150.0,2840.43,67.0,Debit,Branch,1
348.64,128.0,3274.96,57.0,Debit,Online,3
319.17,81.0,6501.56,73.0,Debit,Online,3
73.95,75.99999999999999,363.92,26.0,Debit,ATM,2
389.63,99.0,9748.48,27.0,Debit,Online,3
217.61,45.0,1404.53,19.0,Debit,ATM,2
199.84,150.0,706.44,21.0,Debit,ATM,2
56.35,75.0,5095.73,44.0,Debit,ATM,2
248.95000000000002,29.000000000000004,3059.79,65.0,Credit,Branch,1
142.58,145.0,7844.23,33.0,Debit,ATM,2
1020.7299999999999,87.0,1119.61,28.0,Debit,ATM,2
84.34,247.99999999999997,5313.97,58.0,Debit,Online,3
1607.55,156.0,6227.99,31.0,Debit,ATM,2
333.78,98.0,6810.94,60.0,Debit,ATM,2
332.59,143.0,1457.07,55.0,Debit,Online,3
236.81,15.0,813.68,22.0,Debit,Branch,1
417.8,130.0,1518.82,27.0,Credit,Branch,1
319.27,150.0,10269.78,50.0,Debit,ATM,2
384.1,172.0,672.7899999999998,42.0,Debit,Branch,1
820.62,158.0,6024.8,61.0,Credit,Branch,1
474.77,50.00000000000001,2158.59,56.0,Credit,Online,3
542.72,91.99999999999999,6011.8,43.0,Credit,Branch,1
79.8,75.99999999999999,6372.58,73.0,Debit,ATM,2
46.24,52.00000000000001,2569.56,57.0,Debit,Branch,1
327.8,53.99999999999999,10585.48,61.0,Debit,ATM,2
445.79,161.0,717.9899999999999,52.0,Debit,ATM,2
55.89,150.0,3689.65,72.0,Debit,Online,3
158.41,16.0,1512.16,28.0,Debit,Branch,1
101.19,75.0,14389.45,64.0,Credit,Online,3
827.14,265.0,9800.21,36.0,Debit,Branch,1
61.970000000000006,95.0,7014.69,74.0,Debit,ATM,2
27.21,102.0,3520.61,79.0,Debit,ATM,2
173.74,64.0,4913.42,80.0,Debit,Online,3
176.11,105.0,9155.35,38.0,Debit,Branch,1
88.4,174.0,2567.53,46.0,Debit,Online,3
567.92,14.0,3779.4699999999993,53.0,Debit,Online,3
138.11,104.0,4177.65,68.0,Credit,Online,3
456.93,193.0,7284.76,28.0,Credit,Branch,1
101.42,146.0,6530.59,66.0,Debit,Online,3
300.61,51.00000000000001,7895.540000000001,44.0,Debit,Online,3
265.94,132.0,6781.3,54.0,Debit,Online,3
345.54,50.00000000000001,2091.78,29.0,Debit,Online,3
411.52,88.0,11108.39,41.0,Debit,ATM,2
111.21,111.0,9088.36,35.0,Debit,Branch,1
316.37,86.0,4671.69,53.0,Debit,ATM,2
260.63,142.0,7534.7300000000005,37.0,Debit,Branch,1
92.36,144.0,6353.14,29.0,Debit,ATM,2
262.06,118.0,13587.52,63.0,Debit,Branch,1
64.5,230.0,1351.24,74.0,Debit,ATM,2
253.55,85.0,2797.26,28.0,Debit,ATM,2
408.28,125.0,1222.77,21.0,Credit,Branch,1
175.94,89.0,3728.0400000000004,57.0,Debit,ATM,2
199.47,142.0,6067.44,57.0,Debit,Online,3
51.07,133.0,4292.16,63.0,Debit,Branch,1
435.86,134.0,3801.8200000000006,56.0,Debit,ATM,2
74.73,162.0,6353.22,64.0,Credit,Branch,1
182.79,14.0,1251.85,23.0,Credit,Online,3
628.36,107.99999999999999,11869.71,44.0,Debit,Online,3
268.39,177.0,9409.43,29.0,Debit,Online,3
362.27,47.0,6003.59,80.0,Debit,ATM,2
560.15,91.99999999999999,817.83,50.0,Credit,Online,3
351.99,45.0,3663.64,80.0,Debit,ATM,2
132.36,160.0,319.65,28.0,Debit,Branch,1
24.77,17.0,478.23,40.0,Credit,Online,3
668.67,143.0,13446.81,44.0,Debit,Online,3
80.24,58.00000000000001,8012.810000000001,53.0,Credit,Branch,1
8.65,198.0,4201.22,68.0,Debit,ATM,2
178.91,18.999999999999996,8870.89,18.0,Debit,ATM,2
115.22,107.99999999999999,906.1999999999999,27.0,Debit,Branch,1
161.63,276.0,9286.37,46.0,Debit,Online,3
542.75,63.0,2224.08,70.0,Credit,Branch,1
317.47,16.0,14639.28,67.0,Credit,Online,3
280.99,29.000000000000004,9733.59,45.0,Debit,Branch,1
24.19,28.0,2756.2,29.0,Debit,ATM,2
586.85,86.0,6655.15,36.0,Debit,ATM,2
372.41,143.0,3233.87,55.0,Debit,ATM,2
63.17,148.0,1676.57,20.0,Debit,ATM,2
383.69,285.0,8371.11,54.0,Debit,Online,3
247.16999999999996,149.0,2611.64,65.0,Credit,Branch,1
48.78,136.0,552.06,18.0,Credit,Branch,1
4.15,119.0,6017.36,60.0,Credit,Branch,1
60.989999999999995,58.00000000000001,7281.46,34.0,Debit,Branch,1
408.19,241.0,6847.47,26.0,Debit,Branch,1
524.6,75.99999999999999,13017.7,58.0,Debit,Branch,1
108.96,247.0,7597.660000000001,26.0,Debit,ATM,2
70.03,49.0,7330.31,63.0,Debit,Branch,1
124.84,79.0,6711.78,52.0,Debit,Online,3
324.04,30.0,2248.06,54.0,Debit,ATM,2
39.69,163.0,3524.68,70.0,Debit,Online,3
157.7,45.99999999999999,8332.58,58.0,Credit,Branch,1
81.27,68.00000000000001,1814.48,22.0,Credit,Online,3
193.82,176.0,3886.7699999999995,37.0,Debit,Branch,1
16.73,165.0,7591.129999999999,79.0,Debit,Online,3
474.05,214.0,1484.31,57.0,Debit,ATM,2
39.21,245.0,9385.57,66.0,Debit,ATM,2
637.75,151.99999999999997,4202.92,79.0,Debit,Branch,1
153.59,174.0,4813.12,66.0,Credit,Branch,1
186.6,139.0,9716.68,18.0,Debit,Branch,1
644.08,55.0,1980.62,24.0,Debit,Online,3
226.66,168.00000000000003,10216.25,41.0,Debit,Branch,1
305.0,222.0,944.83,22.0,Debit,ATM,2
233.1,37.0,7469.2,42.0,Credit,Branch,1
793.13,75.99999999999999,13389.16,68.0,Debit,Online,3
224.19,93.0,8475.47,52.0,Debit,ATM,2
214.83,63.0,991.6899999999999,23.0,Credit,ATM,2
163.46,111.0,6953.8,63.0,Credit,Branch,1
194.99,91.0,1370.03,34.0,Debit,Branch,1
23.4,175.0,14851.28,46.0,Debit,ATM,2
227.5,277.0,11505.35,34.0,Debit,Online,3
259.9,100.00000000000001,914.2799999999999,26.0,Debit,Online,3
59.51,55.0,9955.88,36.0,Credit,Online,3
50.63,143.0,4732.81,64.0,Debit,Online,3
1074.95,91.0,530.86,20.0,Debit,Branch,1
112.94,30.999999999999996,3807.8399999999997,73.0,Credit,Online,3
11.81,131.0,320.25,21.0,Debit,ATM,2
329.14,14.0,12033.92,55.0,Debit,Branch,1
154.24,82.0,6109.55,61.0,Debit,ATM,2
233.44,297.0,1691.88,20.0,Debit,Online,3
141.8,116.00000000000001,1697.67,18.0,Debit,ATM,2
209.03,126.0,8359.5,55.0,Debit,Branch,1
1137.63,144.0,1629.12,26.0,Debit,ATM,2
261.14,162.0,6100.08,42.0,Debit,ATM,2
101.81,105.0,13872.03,45.0,Debit,ATM,2
98.71,117.0,10095.23,32.0,Debit,ATM,2
87.38,252.0,1504.99,21.0,Debit,Branch,1
83.39,158.0,13182.11,32.0,Debit,Branch,1
267.55,40.0,4330.04,46.0,Debit,Online,3
870.05,39.0,905.2499999999999,29.0,Debit,ATM,2
154.32,269.0,6972.5,38.0,Credit,ATM,2
164.51,110.0,3553.69,78.0,Debit,Branch,1
758.12,90.0,6164.65,69.0,Debit,ATM,2
103.76,188.0,9626.14,28.0,Debit,Online,3
583.92,139.0,6364.14,55.0,Debit,Online,3
204.06,159.0,4351.83,77.0,Debit,Online,3
53.51,165.0,5773.5,56.0,Debit,Online,3
1108.46,262.0,9257.04,30.0,Debit,Branch,1
52.95,14.0,6335.58,68.0,Credit,Online,3
120.17,105.0,5403.79,49.0,Debit,ATM,2
220.8,28.0,8135.31,31.0,Debit,Online,3
119.01,87.0,9798.26,45.0,Debit,ATM,2
183.32,74.0,137.42,21.0,Debit,ATM,2
858.88,227.0,7015.46,60.0,Debit,Online,3
11.46,128.0,2356.71,41.0,Credit,Online,3
61.37,164.0,4294.44,75.0,Debit,Branch,1
103.08,150.0,9251.38,49.0,Credit,Branch,1
1.2100000000000002,196.0,7542.739999999999,55.0,Debit,Branch,1
425.18,172.0,9880.71,26.0,Credit,Online,3
60.96,238.0,6189.24,52.0,Debit,ATM,2
64.21,37.0,12540.18,51.0,Debit,ATM,2
523.02,83.0,4586.11,53.0,Debit,Online,3
50.26,164.0,1519.38,65.0,Debit,Branch,1
110.08,95.0,1447.26,19.0,Debit,Branch,1
54.47,34.0,1131.42,23.0,Credit,Branch,1
79.76,115.0,10278.75,68.0,Debit,Online,3
16.79,146.0,535.15,30.0,Credit,Online,3
1531.31,61.99999999999999,859.8599999999999,18.0,Debit,Online,3
68.62,157.0,13891.47,29.0,Debit,Branch,1
157.16,280.0,1545.77,20.0,Debit,Branch,1
643.38,105.0,1046.74,18.0,Credit,Online,3
328.34,30.999999999999996,2840.45,42.0,Credit,Online,3
72.68,44.0,6216.77,69.0,Debit,Online,3
354.76,279.0,10141.92,51.0,Debit,Branch,1
793.88,252.0,1404.06,22.0,Credit,ATM,2
29.22,69.00000000000001,7795.79,27.0,Debit,ATM,2
653.97,100.00000000000001,3886.65,37.0,Debit,Online,3
366.43,91.99999999999999,1560.45,21.0,Credit,Online,3
120.86,162.0,13566.58,33.0,Debit,Online,3
233.74,142.0,4749.54,72.0,Debit,Online,3
471.84,138.0,1044.33,18.0,Debit,ATM,2
213.4,100.00000000000001,2012.24,73.0,Credit,Branch,1
254.20999999999998,45.99999999999999,2487.2,48.0,Debit,ATM,2
577.73,63.0,14977.99,37.0,Debit,ATM,2
170.26,265.0,1969.48,27.0,Debit,ATM,2
337.73,107.0,7001.2,78.0,Debit,Online,3
330.61,113.0,2525.25,64.0,Credit,Branch,1
132.33,47.0,7457.94,35.0,Credit,ATM,2
672.74,118.0,5386.52,46.0,Credit,Branch,1
74.04,66.0,1690.23,18.0,Debit,Online,3
197.18,135.0,3114.92,28.0,Debit,Online,3
21.15,180.0,3466.74,70.0,Debit,Branch,1
218.37,105.0,9942.24,62.0,Debit,ATM,2
590.01,140.0,9791.74,29.0,Debit,Online,3
697.82,153.0,6824.0,44.0,Debit,Online,3
302.76,88.0,8583.39,38.0,Debit,ATM,2
148.0,35.0,1488.65,20.0,Debit,Branch,1
22.26,56.0,5583.88,19.0,Debit,Branch,1
0.86,139.0,1357.22,25.0,Debit,ATM,2
757.1,203.0,10553.23,65.0,Debit,Branch,1
38.81,145.0,1619.6,25.0,Credit,Online,3
76.51,120.0,9475.4,49.0,Credit,Online,3
32.46,10.0,8656.18,31.0,Debit,Online,3
1022.7499999999999,158.0,207.74,62.0,Credit,Branch,1
20.64,59.00000000000001,949.38,22.0,Debit,Branch,1
662.11,219.0,1996.38,23.0,Debit,Branch,1
288.77,110.0,8836.51,55.0,Debit,ATM,2
35.05,105.0,14330.47,30.0,Debit,Branch,1
214.73,26.0,5368.42,46.0,Credit,ATM,2
25.38,66.0,8616.05,57.0,Debit,Branch,1
617.66,40.0,5906.58,41.0,Debit,ATM,2
446.39,77.0,7863.6,63.0,Debit,ATM,2
377.92,204.0,2254.71,33.0,Debit,Branch,1
11.04,43.0,6983.04,30.0,Debit,Online,3
275.46,67.0,9697.75,36.0,Debit,ATM,2
179.76,81.0,5909.52,78.0,Debit,Online,3
32.34,45.0,7847.619999999999,44.0,Debit,Branch,1
273.92,109.0,4543.56,79.0,Debit,Branch,1
375.45,32.0,1307.23,19.0,Debit,Branch,1
388.98,155.0,1819.91,23.0,Debit,ATM,2
492.84,37.99999999999999,577.67,25.0,Debit,ATM,2
148.85,25.000000000000004,7802.360000000001,57.0,Debit,ATM,2
119.95,47.0,2596.61,62.0,Credit,Branch,1
391.66,103.0,2406.31,50.0,Debit,Branch,1
185.99,53.00000000000001,402.45,41.0,Credit,Branch,1
322.48,57.0,1238.43,27.0,Debit,ATM,2
20.27,22.0,796.3499999999999,18.0,Debit,Branch,1
280.61,129.0,7888.76,47.0,Debit,ATM,2
199.02,269.0,4658.89,61.0,Debit,ATM,2
104.23,107.99999999999999,5009.29,63.0,Credit,Online,3
353.59,109.0,1822.34,52.0,Credit,Branch,1
55.86,68.00000000000001,5346.46,39.0,Debit,Online,3
10.77,178.0,10704.95,31.0,Debit,ATM,2
95.55,51.00000000000001,2434.74,33.0,Debit,Branch,1
477.07,278.0,6568.07,27.0,Debit,Online,3
9.1,63.0,2791.45,52.0,Credit,Online,3
21.41,99.0,658.91,57.0,Debit,Online,3
278.28,26.0,1346.88,28.0,Debit,Branch,1
388.1,40.0,3022.12,73.0,Credit,Online,3
215.39,215.99999999999997,1582.55,27.0,Debit,ATM,2
194.37,161.0,14395.88,66.0,Debit,ATM,2
37.7,109.0,1741.1,20.0,Debit,ATM,2
19.59,122.0,1061.69,64.0,Debit,Branch,1
81.35,103.0,7192.45,41.0,Debit,Online,3
314.54,228.0,9923.45,58.0,Credit,Branch,1
466.64,11.0,10915.11,58.0,Debit,ATM,2
397.01,100.00000000000001,719.52,22.0,Debit,ATM,2
472.48,87.0,7128.82,55.0,Debit,Branch,1
67.15,14.0,9028.49,59.0,Debit,Online,3
102.67,119.0,4656.94,79.0,Debit,Branch,1
460.09,146.0,6990.64,35.0,Credit,Online,3
453.49,147.0,6366.43,66.0,Debit,Branch,1
267.17,170.0,1382.62,26.0,Debit,ATM,2
111.26,43.0,14350.11,66.0,Debit,ATM,2
121.17000000000002,158.0,12990.77,68.0,Debit,ATM,2
213.28,94.0,4835.91,51.0,Debit,Branch,1
187.88,180.0,2154.58,60.0,Debit,ATM,2
471.88,141.0,14833.34,34.0,Credit,Online,3
83.79,47.0,5061.3,57.0,Debit,ATM,2
212.14,105.0,7225.06,72.0,Debit,Branch,1
99.16,202.0,2607.58,79.0,Debit,Online,3
839.33,86.0,11538.97,60.0,Credit,Branch,1
29.91,43.0,2834.84,76.0,Credit,Online,3
4.24,37.99999999999999,7822.729999999999,38.0,Debit,Online,3
50.29,64.0,7604.9,58.0,Credit,Online,3
135.85,269.0,1480.39,57.0,Debit,Online,3
368.53,34.0,13696.31,68.0,Debit,Branch,1
17.95,135.0,12344.9,64.0,Credit,Branch,1
127.8,47.0,8630.99,31.0,Credit,Branch,1
16.73,48.0,2202.62,45.0,Debit,Online,3
317.12,80.0,14409.74,44.0,Debit,Branch,1
476.63,115.0,4894.25,79.0,Debit,ATM,2
156.58,160.0,8981.61,24.0,Debit,Branch,1
55.12,261.0,3791.99,34.0,Credit,Online,3
